job_id,fold_year,architecture,seed,relative_path,sha256,size_bytes,parameter_count,weights_finite,shape_compatible,disposition,notes
fold_2022_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed37,2022,TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128,37,fold_2022/checkpoints_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed37/best_checkpoint.pt,f6c3c19be1f5fb23d09db63fd757b0ccec5beaf2df2691394a04d9beeb4b8127,993369,77249,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2023_MLP_ANNUAL_966_64_128_1_seed7,2023,MLP_ANNUAL_966_64_128_1,7,fold_2023/checkpoints_MLP_ANNUAL_966_64_128_1_seed7/best_checkpoint.pt,dd63bb3ab5d59cf8433c6ec466b6ebed09b749f98d4754b11bfde6279ed93229,875429,70721,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2023_MLP_ANNUAL_966_64_128_1_seed17,2023,MLP_ANNUAL_966_64_128_1,17,fold_2023/checkpoints_MLP_ANNUAL_966_64_128_1_seed17/best_checkpoint.pt,7bc488cb6263e4b6bb22a5fc271aef3443941f87e595d04e39b972766930b526,875429,70721,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2023_MLP_ANNUAL_966_64_128_1_seed37,2023,MLP_ANNUAL_966_64_128_1,37,fold_2023/checkpoints_MLP_ANNUAL_966_64_128_1_seed37/best_checkpoint.pt,7e76e434ab5f3f02140944d58a5eb6d72d78844ab7d7a5e6d2c208b549777072,875429,70721,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2023_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed7,2023,TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128,7,fold_2023/checkpoints_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed7/best_checkpoint.pt,d2f43ee9bdd407f8cb2d124c619b984e83fb1f4bdd72fc3ac84e067e17b663f5,993369,77249,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2023_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed17,2023,TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128,17,fold_2023/checkpoints_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed17/best_checkpoint.pt,7d71cd3821199c31f43e67132c49eab2c7ed80471acc07525eaaaf733c0e43c0,993305,77249,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2023_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed37,2023,TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128,37,fold_2023/checkpoints_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed37/best_checkpoint.pt,0e1d51cfe84acb6678d77a9a0b3595d367b8425e7f0edb753c49ca83e2b5b1c6,993305,77249,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2024_MLP_ANNUAL_966_64_128_1_seed7,2024,MLP_ANNUAL_966_64_128_1,7,fold_2024/checkpoints_MLP_ANNUAL_966_64_128_1_seed7/best_checkpoint.pt,ad549411403e7c10fc46fccdc8ca17296dc9dafdf164bee4f5ef6ad1cfbda88b,875429,70721,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2024_MLP_ANNUAL_966_64_128_1_seed17,2024,MLP_ANNUAL_966_64_128_1,17,fold_2024/checkpoints_MLP_ANNUAL_966_64_128_1_seed17/best_checkpoint.pt,6eeafc7a4e3dbb6252ee1a00bd628ee787e65a5787b6c3b7f9c08f1ad9a96afa,875493,70721,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2024_MLP_ANNUAL_966_64_128_1_seed37,2024,MLP_ANNUAL_966_64_128_1,37,fold_2024/checkpoints_MLP_ANNUAL_966_64_128_1_seed37/best_checkpoint.pt,c833627413d30585937c1ad16e56c758506d4e17a6ba4302b97d930eec839785,875493,70721,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2024_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed7,2024,TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128,7,fold_2024/checkpoints_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed7/best_checkpoint.pt,025380982d736dc1a8265ca6caa3981b0f86ae75d9a68d3be589f59b45b06ae7,993369,77249,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2024_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed17,2024,TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128,17,fold_2024/checkpoints_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed17/best_checkpoint.pt,e61e942057d64b4211839f96fe11afcc3fd6bc31acb04db3f8d1851382a47849,993369,77249,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2024_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed37,2024,TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128,37,fold_2024/checkpoints_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed37/best_checkpoint.pt,7cafc31d138287f6d59676fc8294b918e4b8e8988a9c2289f55bea2b74c88728,993369,77249,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2025_MLP_ANNUAL_966_64_128_1_seed7,2025,MLP_ANNUAL_966_64_128_1,7,fold_2025/checkpoints_MLP_ANNUAL_966_64_128_1_seed7/best_checkpoint.pt,ba821e8963462309ee5910b2d18aa530b6ed7a604d2def4b91f4570315d72712,875493,70721,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2025_MLP_ANNUAL_966_64_128_1_seed17,2025,MLP_ANNUAL_966_64_128_1,17,fold_2025/checkpoints_MLP_ANNUAL_966_64_128_1_seed17/best_checkpoint.pt,56349f2f8ac6b971b7aa25ee116e338c6b9c85fd1e71f4daa95cea798a42d17f,875493,70721,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2025_MLP_ANNUAL_966_64_128_1_seed37,2025,MLP_ANNUAL_966_64_128_1,37,fold_2025/checkpoints_MLP_ANNUAL_966_64_128_1_seed37/best_checkpoint.pt,b1feb54a1c74ff9976667296854b4f1a8f53362f8ee4f88aadf8abc2fd7018bc,875493,70721,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2025_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed7,2025,TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128,7,fold_2025/checkpoints_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed7/best_checkpoint.pt,be10c04f77a9af6736bbeb299d4f9a5b7ee5d8205a58028d4cdaf42dcbb67f40,993369,77249,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2025_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed17,2025,TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128,17,fold_2025/checkpoints_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed17/best_checkpoint.pt,7be04759887e8c662c2569ccef8559436677ea41fd8739bb9c4672fe2eb0966d,993369,77249,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
fold_2025_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed37,2025,TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128,37,fold_2025/checkpoints_TRANSFORMER_42x23_WIDTH64_HEADS4_LAYERS2_FF128_LATENT128_seed37/best_checkpoint.pt,658a2f3c72d09964ea1272060fff2f5532fa345997d5ae88335c7ac2155d2b63,993369,77249,True,True,reuse candidate—verification pending,"Trained on numeric (X, y) tensors; uncorrupted parameter weights and optimizer states; verification pending recovery run"
