sample_id,market,ticker,sequence_start_date,sequence_end_date,target_252_maturity_date,split_cutoff_date,label_horizon_exceeds_cutoff,purged,status
SPL_00048,US,AAPL,2013-05-14,2013-08-09,2014-07-29,2020-12-31,0,0,RETAINED_TRAIN
SPL_00049,US,AAPL,2013-05-16,2013-08-13,2014-07-31,2020-12-31,0,0,RETAINED_TRAIN
SPL_00050,US,AAPL,2013-05-20,2013-08-15,2014-08-04,2020-12-31,0,0,RETAINED_TRAIN
SPL_00051,US,AAPL,2013-05-22,2013-08-19,2014-08-06,2020-12-31,0,0,RETAINED_TRAIN
SPL_00052,US,AAPL,2013-05-24,2013-08-21,2014-08-08,2020-12-31,0,0,RETAINED_TRAIN
SPL_00053,US,AAPL,2013-05-28,2013-08-23,2014-08-12,2020-12-31,0,0,RETAINED_TRAIN
SPL_00054,US,AAPL,2013-05-30,2013-08-27,2014-08-14,2020-12-31,0,0,RETAINED_TRAIN
SPL_00055,US,AAPL,2013-06-03,2013-08-29,2014-08-18,2020-12-31,0,0,RETAINED_TRAIN
SPL_00056,US,AAPL,2013-06-05,2013-09-02,2014-08-20,2020-12-31,0,0,RETAINED_TRAIN
SPL_00057,US,AAPL,2013-06-07,2013-09-04,2014-08-22,2020-12-31,0,0,RETAINED_TRAIN
SPL_00058,US,AAPL,2013-06-11,2013-09-06,2014-08-26,2020-12-31,0,0,RETAINED_TRAIN
SPL_00059,US,AAPL,2013-06-13,2013-09-10,2014-08-28,2020-12-31,0,0,RETAINED_TRAIN
SPL_00060,US,AAPL,2013-06-17,2013-09-12,2014-09-01,2020-12-31,0,0,RETAINED_TRAIN
SPL_00061,US,AAPL,2013-06-19,2013-09-16,2014-09-03,2020-12-31,0,0,RETAINED_TRAIN
SPL_00062,US,AAPL,2013-06-21,2013-09-18,2014-09-05,2020-12-31,0,0,RETAINED_TRAIN
SPL_00063,US,AAPL,2013-06-25,2013-09-20,2014-09-09,2020-12-31,0,0,RETAINED_TRAIN
SPL_00064,US,AAPL,2013-06-27,2013-09-24,2014-09-11,2020-12-31,0,0,RETAINED_TRAIN
SPL_00065,US,AAPL,2013-07-01,2013-09-26,2014-09-15,2020-12-31,0,0,RETAINED_TRAIN
SPL_00066,US,AAPL,2013-07-03,2013-09-30,2014-09-17,2020-12-31,0,0,RETAINED_TRAIN
SPL_00067,US,AAPL,2013-07-05,2013-10-02,2014-09-19,2020-12-31,0,0,RETAINED_TRAIN
SPL_00068,US,AAPL,2013-07-09,2013-10-04,2014-09-23,2020-12-31,0,0,RETAINED_TRAIN
SPL_00069,US,AAPL,2013-07-11,2013-10-08,2014-09-25,2020-12-31,0,0,RETAINED_TRAIN
SPL_00070,US,AAPL,2013-07-15,2013-10-10,2014-09-29,2020-12-31,0,0,RETAINED_TRAIN
SPL_00071,US,AAPL,2013-07-17,2013-10-14,2014-10-01,2020-12-31,0,0,RETAINED_TRAIN
SPL_00072,US,AAPL,2013-07-19,2013-10-16,2014-10-03,2020-12-31,0,0,RETAINED_TRAIN
SPL_00073,US,AAPL,2013-07-23,2013-10-18,2014-10-07,2020-12-31,0,0,RETAINED_TRAIN
SPL_00074,US,AAPL,2013-07-25,2013-10-22,2014-10-09,2020-12-31,0,0,RETAINED_TRAIN
SPL_00075,US,AAPL,2013-07-29,2013-10-24,2014-10-13,2020-12-31,0,0,RETAINED_TRAIN
SPL_00076,US,AAPL,2013-07-31,2013-10-28,2014-10-15,2020-12-31,0,0,RETAINED_TRAIN
SPL_00077,US,AAPL,2013-08-02,2013-10-30,2014-10-17,2020-12-31,0,0,RETAINED_TRAIN
SPL_00078,US,AAPL,2013-08-06,2013-11-01,2014-10-21,2020-12-31,0,0,RETAINED_TRAIN
SPL_00079,US,AAPL,2013-08-08,2013-11-05,2014-10-23,2020-12-31,0,0,RETAINED_TRAIN
SPL_00080,US,AAPL,2013-08-12,2013-11-07,2014-10-27,2020-12-31,0,0,RETAINED_TRAIN
SPL_00081,US,AAPL,2013-08-14,2013-11-11,2014-10-29,2020-12-31,0,0,RETAINED_TRAIN
SPL_00082,US,AAPL,2013-08-16,2013-11-13,2014-10-31,2020-12-31,0,0,RETAINED_TRAIN
SPL_00083,US,AAPL,2013-08-20,2013-11-15,2014-11-04,2020-12-31,0,0,RETAINED_TRAIN
SPL_00084,US,AAPL,2013-08-22,2013-11-19,2014-11-06,2020-12-31,0,0,RETAINED_TRAIN
SPL_00085,US,AAPL,2013-08-26,2013-11-21,2014-11-10,2020-12-31,0,0,RETAINED_TRAIN
SPL_00086,US,AAPL,2013-08-28,2013-11-25,2014-11-12,2020-12-31,0,0,RETAINED_TRAIN
SPL_00087,US,AAPL,2013-08-30,2013-11-27,2014-11-14,2020-12-31,0,0,RETAINED_TRAIN
SPL_00088,US,AAPL,2013-09-03,2013-11-29,2014-11-18,2020-12-31,0,0,RETAINED_TRAIN
SPL_00089,US,AAPL,2013-09-05,2013-12-03,2014-11-20,2020-12-31,0,0,RETAINED_TRAIN
SPL_00090,US,AAPL,2013-09-09,2013-12-05,2014-11-24,2020-12-31,0,0,RETAINED_TRAIN
SPL_00091,US,AAPL,2013-09-11,2013-12-09,2014-11-26,2020-12-31,0,0,RETAINED_TRAIN
SPL_00092,US,AAPL,2013-09-13,2013-12-11,2014-11-28,2020-12-31,0,0,RETAINED_TRAIN
SPL_00093,US,AAPL,2013-09-17,2013-12-13,2014-12-02,2020-12-31,0,0,RETAINED_TRAIN
SPL_00094,US,AAPL,2013-09-19,2013-12-17,2014-12-04,2020-12-31,0,0,RETAINED_TRAIN
SPL_00095,US,AAPL,2013-09-23,2013-12-19,2014-12-08,2020-12-31,0,0,RETAINED_TRAIN
SPL_00096,US,AAPL,2013-09-25,2013-12-23,2014-12-10,2020-12-31,0,0,RETAINED_TRAIN
SPL_00097,US,AAPL,2013-09-27,2013-12-25,2014-12-12,2020-12-31,0,0,RETAINED_TRAIN
SPL_00098,US,AAPL,2013-10-01,2013-12-27,2014-12-16,2020-12-31,0,0,RETAINED_TRAIN
SPL_00099,US,AAPL,2013-10-03,2013-12-31,2014-12-18,2020-12-31,0,0,RETAINED_TRAIN
SPL_00100,US,AAPL,2013-10-07,2014-01-02,2014-12-22,2020-12-31,0,0,RETAINED_TRAIN
SPL_00101,US,AAPL,2013-10-09,2014-01-06,2014-12-24,2020-12-31,0,0,RETAINED_TRAIN
SPL_00102,US,AAPL,2013-10-11,2014-01-08,2014-12-26,2020-12-31,0,0,RETAINED_TRAIN
SPL_00103,US,AAPL,2013-10-15,2014-01-10,2014-12-30,2020-12-31,0,0,RETAINED_TRAIN
SPL_00104,US,AAPL,2013-10-17,2014-01-14,2015-01-01,2020-12-31,0,0,RETAINED_TRAIN
SPL_00105,US,AAPL,2013-10-21,2014-01-16,2015-01-05,2020-12-31,0,0,RETAINED_TRAIN
SPL_00106,US,AAPL,2013-10-23,2014-01-20,2015-01-07,2020-12-31,0,0,RETAINED_TRAIN
SPL_00107,US,AAPL,2013-10-25,2014-01-22,2015-01-09,2020-12-31,0,0,RETAINED_TRAIN
SPL_00108,US,AAPL,2013-10-29,2014-01-24,2015-01-13,2020-12-31,0,0,RETAINED_TRAIN
SPL_00109,US,AAPL,2013-10-31,2014-01-28,2015-01-15,2020-12-31,0,0,RETAINED_TRAIN
SPL_00110,US,AAPL,2013-11-04,2014-01-30,2015-01-19,2020-12-31,0,0,RETAINED_TRAIN
SPL_00111,US,AAPL,2013-11-06,2014-02-03,2015-01-21,2020-12-31,0,0,RETAINED_TRAIN
SPL_00112,US,AAPL,2013-11-08,2014-02-05,2015-01-23,2020-12-31,0,0,RETAINED_TRAIN
SPL_00113,US,AAPL,2013-11-12,2014-02-07,2015-01-27,2020-12-31,0,0,RETAINED_TRAIN
SPL_00114,US,AAPL,2013-11-14,2014-02-11,2015-01-29,2020-12-31,0,0,RETAINED_TRAIN
SPL_00115,US,AAPL,2013-11-18,2014-02-13,2015-02-02,2020-12-31,0,0,RETAINED_TRAIN
SPL_00116,US,AAPL,2013-11-20,2014-02-17,2015-02-04,2020-12-31,0,0,RETAINED_TRAIN
SPL_00117,US,AAPL,2013-11-22,2014-02-19,2015-02-06,2020-12-31,0,0,RETAINED_TRAIN
SPL_00118,US,AAPL,2013-11-26,2014-02-21,2015-02-10,2020-12-31,0,0,RETAINED_TRAIN
SPL_00119,US,AAPL,2013-11-28,2014-02-25,2015-02-12,2020-12-31,0,0,RETAINED_TRAIN
SPL_00120,US,AAPL,2013-12-02,2014-02-27,2015-02-16,2020-12-31,0,0,RETAINED_TRAIN
SPL_00121,US,AAPL,2013-12-04,2014-03-03,2015-02-18,2020-12-31,0,0,RETAINED_TRAIN
SPL_00122,US,AAPL,2013-12-06,2014-03-05,2015-02-20,2020-12-31,0,0,RETAINED_TRAIN
SPL_00123,US,AAPL,2013-12-10,2014-03-07,2015-02-24,2020-12-31,0,0,RETAINED_TRAIN
SPL_00124,US,AAPL,2013-12-12,2014-03-11,2015-02-26,2020-12-31,0,0,RETAINED_TRAIN
SPL_00125,US,AAPL,2013-12-16,2014-03-13,2015-03-02,2020-12-31,0,0,RETAINED_TRAIN
SPL_00126,US,AAPL,2013-12-18,2014-03-17,2015-03-04,2020-12-31,0,0,RETAINED_TRAIN
SPL_00127,US,AAPL,2013-12-20,2014-03-19,2015-03-06,2020-12-31,0,0,RETAINED_TRAIN
SPL_00128,US,AAPL,2013-12-24,2014-03-21,2015-03-10,2020-12-31,0,0,RETAINED_TRAIN
SPL_00129,US,AAPL,2013-12-26,2014-03-25,2015-03-12,2020-12-31,0,0,RETAINED_TRAIN
SPL_00130,US,AAPL,2013-12-30,2014-03-27,2015-03-16,2020-12-31,0,0,RETAINED_TRAIN
SPL_00131,US,AAPL,2014-01-01,2014-03-31,2015-03-18,2020-12-31,0,0,RETAINED_TRAIN
SPL_00132,US,AAPL,2014-01-03,2014-04-02,2015-03-20,2020-12-31,0,0,RETAINED_TRAIN
SPL_00133,US,AAPL,2014-01-07,2014-04-04,2015-03-24,2020-12-31,0,0,RETAINED_TRAIN
SPL_00134,US,AAPL,2014-01-09,2014-04-08,2015-03-26,2020-12-31,0,0,RETAINED_TRAIN
SPL_00135,US,AAPL,2014-01-13,2014-04-10,2015-03-30,2020-12-31,0,0,RETAINED_TRAIN
SPL_00136,US,AAPL,2014-01-15,2014-04-14,2015-04-01,2020-12-31,0,0,RETAINED_TRAIN
SPL_00137,US,AAPL,2014-01-17,2014-04-16,2015-04-03,2020-12-31,0,0,RETAINED_TRAIN
SPL_00138,US,AAPL,2014-01-21,2014-04-18,2015-04-07,2020-12-31,0,0,RETAINED_TRAIN
SPL_00139,US,AAPL,2014-01-23,2014-04-22,2015-04-09,2020-12-31,0,0,RETAINED_TRAIN
SPL_00140,US,AAPL,2014-01-27,2014-04-24,2015-04-13,2020-12-31,0,0,RETAINED_TRAIN
SPL_00141,US,AAPL,2014-01-29,2014-04-28,2015-04-15,2020-12-31,0,0,RETAINED_TRAIN
SPL_00142,US,AAPL,2014-01-31,2014-04-30,2015-04-17,2020-12-31,0,0,RETAINED_TRAIN
SPL_00143,US,AAPL,2014-02-04,2014-05-02,2015-04-21,2020-12-31,0,0,RETAINED_TRAIN
SPL_00144,US,AAPL,2014-02-06,2014-05-06,2015-04-23,2020-12-31,0,0,RETAINED_TRAIN
SPL_00145,US,AAPL,2014-02-10,2014-05-08,2015-04-27,2020-12-31,0,0,RETAINED_TRAIN
SPL_00146,US,AAPL,2014-02-12,2014-05-12,2015-04-29,2020-12-31,0,0,RETAINED_TRAIN
SPL_00147,US,AAPL,2014-02-14,2014-05-14,2015-05-01,2020-12-31,0,0,RETAINED_TRAIN
SPL_00148,US,AAPL,2014-02-18,2014-05-16,2015-05-05,2020-12-31,0,0,RETAINED_TRAIN
SPL_00149,US,AAPL,2014-02-20,2014-05-20,2015-05-07,2020-12-31,0,0,RETAINED_TRAIN
SPL_00150,US,AAPL,2014-02-24,2014-05-22,2015-05-11,2020-12-31,0,0,RETAINED_TRAIN
SPL_00151,US,AAPL,2014-02-26,2014-05-26,2015-05-13,2020-12-31,0,0,RETAINED_TRAIN
SPL_00152,US,AAPL,2014-02-28,2014-05-28,2015-05-15,2020-12-31,0,0,RETAINED_TRAIN
SPL_00153,US,AAPL,2014-03-04,2014-05-30,2015-05-19,2020-12-31,0,0,RETAINED_TRAIN
SPL_00154,US,AAPL,2014-03-06,2014-06-03,2015-05-21,2020-12-31,0,0,RETAINED_TRAIN
SPL_00155,US,AAPL,2014-03-10,2014-06-05,2015-05-25,2020-12-31,0,0,RETAINED_TRAIN
SPL_00156,US,AAPL,2014-03-12,2014-06-09,2015-05-27,2020-12-31,0,0,RETAINED_TRAIN
SPL_00157,US,AAPL,2014-03-14,2014-06-11,2015-05-29,2020-12-31,0,0,RETAINED_TRAIN
SPL_00158,US,AAPL,2014-03-18,2014-06-13,2015-06-02,2020-12-31,0,0,RETAINED_TRAIN
SPL_00159,US,AAPL,2014-03-20,2014-06-17,2015-06-04,2020-12-31,0,0,RETAINED_TRAIN
SPL_00160,US,AAPL,2014-03-24,2014-06-19,2015-06-08,2020-12-31,0,0,RETAINED_TRAIN
SPL_00161,US,AAPL,2014-03-26,2014-06-23,2015-06-10,2020-12-31,0,0,RETAINED_TRAIN
SPL_00162,US,AAPL,2014-03-28,2014-06-25,2015-06-12,2020-12-31,0,0,RETAINED_TRAIN
SPL_00163,US,AAPL,2014-04-01,2014-06-27,2015-06-16,2020-12-31,0,0,RETAINED_TRAIN
SPL_00164,US,AAPL,2014-04-03,2014-07-01,2015-06-18,2020-12-31,0,0,RETAINED_TRAIN
SPL_00165,US,AAPL,2014-04-07,2014-07-03,2015-06-22,2020-12-31,0,0,RETAINED_TRAIN
SPL_00166,US,AAPL,2014-04-09,2014-07-07,2015-06-24,2020-12-31,0,0,RETAINED_TRAIN
SPL_00167,US,AAPL,2014-04-11,2014-07-09,2015-06-26,2020-12-31,0,0,RETAINED_TRAIN
SPL_00168,US,AAPL,2014-04-15,2014-07-11,2015-06-30,2020-12-31,0,0,RETAINED_TRAIN
SPL_00169,US,AAPL,2014-04-17,2014-07-15,2015-07-02,2020-12-31,0,0,RETAINED_TRAIN
SPL_00170,US,AAPL,2014-04-21,2014-07-17,2015-07-06,2020-12-31,0,0,RETAINED_TRAIN
SPL_00171,US,AAPL,2014-04-23,2014-07-21,2015-07-08,2020-12-31,0,0,RETAINED_TRAIN
SPL_00172,US,AAPL,2014-04-25,2014-07-23,2015-07-10,2020-12-31,0,0,RETAINED_TRAIN
SPL_00173,US,AAPL,2014-04-29,2014-07-25,2015-07-14,2020-12-31,0,0,RETAINED_TRAIN
SPL_00174,US,AAPL,2014-05-01,2014-07-29,2015-07-16,2020-12-31,0,0,RETAINED_TRAIN
SPL_00175,US,AAPL,2014-05-05,2014-07-31,2015-07-20,2020-12-31,0,0,RETAINED_TRAIN
SPL_00176,US,AAPL,2014-05-07,2014-08-04,2015-07-22,2020-12-31,0,0,RETAINED_TRAIN
SPL_00177,US,AAPL,2014-05-09,2014-08-06,2015-07-24,2020-12-31,0,0,RETAINED_TRAIN
SPL_00178,US,AAPL,2014-05-13,2014-08-08,2015-07-28,2020-12-31,0,0,RETAINED_TRAIN
SPL_00179,US,AAPL,2014-05-15,2014-08-12,2015-07-30,2020-12-31,0,0,RETAINED_TRAIN
SPL_00180,US,AAPL,2014-05-19,2014-08-14,2015-08-03,2020-12-31,0,0,RETAINED_TRAIN
SPL_00181,US,AAPL,2014-05-21,2014-08-18,2015-08-05,2020-12-31,0,0,RETAINED_TRAIN
SPL_00182,US,AAPL,2014-05-23,2014-08-20,2015-08-07,2020-12-31,0,0,RETAINED_TRAIN
SPL_00183,US,AAPL,2014-05-27,2014-08-22,2015-08-11,2020-12-31,0,0,RETAINED_TRAIN
SPL_00184,US,AAPL,2014-05-29,2014-08-26,2015-08-13,2020-12-31,0,0,RETAINED_TRAIN
SPL_00185,US,AAPL,2014-06-02,2014-08-28,2015-08-17,2020-12-31,0,0,RETAINED_TRAIN
SPL_00186,US,AAPL,2014-06-04,2014-09-01,2015-08-19,2020-12-31,0,0,RETAINED_TRAIN
SPL_00187,US,AAPL,2014-06-06,2014-09-03,2015-08-21,2020-12-31,0,0,RETAINED_TRAIN
SPL_00188,US,AAPL,2014-06-10,2014-09-05,2015-08-25,2020-12-31,0,0,RETAINED_TRAIN
SPL_00189,US,AAPL,2014-06-12,2014-09-09,2015-08-27,2020-12-31,0,0,RETAINED_TRAIN
SPL_00190,US,AAPL,2014-06-16,2014-09-11,2015-08-31,2020-12-31,0,0,RETAINED_TRAIN
SPL_00191,US,AAPL,2014-06-18,2014-09-15,2015-09-02,2020-12-31,0,0,RETAINED_TRAIN
SPL_00192,US,AAPL,2014-06-20,2014-09-17,2015-09-04,2020-12-31,0,0,RETAINED_TRAIN
SPL_00193,US,AAPL,2014-06-24,2014-09-19,2015-09-08,2020-12-31,0,0,RETAINED_TRAIN
SPL_00194,US,AAPL,2014-06-26,2014-09-23,2015-09-10,2020-12-31,0,0,RETAINED_TRAIN
SPL_00195,US,AAPL,2014-06-30,2014-09-25,2015-09-14,2020-12-31,0,0,RETAINED_TRAIN
SPL_00196,US,AAPL,2014-07-02,2014-09-29,2015-09-16,2020-12-31,0,0,RETAINED_TRAIN
SPL_00197,US,AAPL,2014-07-04,2014-10-01,2015-09-18,2020-12-31,0,0,RETAINED_TRAIN
SPL_00198,US,AAPL,2014-07-08,2014-10-03,2015-09-22,2020-12-31,0,0,RETAINED_TRAIN
SPL_00199,US,AAPL,2014-07-10,2014-10-07,2015-09-24,2020-12-31,0,0,RETAINED_TRAIN
SPL_00200,US,AAPL,2014-07-14,2014-10-09,2015-09-28,2020-12-31,0,0,RETAINED_TRAIN
SPL_00201,US,AAPL,2014-07-16,2014-10-13,2015-09-30,2020-12-31,0,0,RETAINED_TRAIN
SPL_00202,US,AAPL,2014-07-18,2014-10-15,2015-10-02,2020-12-31,0,0,RETAINED_TRAIN
SPL_00203,US,AAPL,2014-07-22,2014-10-17,2015-10-06,2020-12-31,0,0,RETAINED_TRAIN
SPL_00204,US,AAPL,2014-07-24,2014-10-21,2015-10-08,2020-12-31,0,0,RETAINED_TRAIN
SPL_00205,US,AAPL,2014-07-28,2014-10-23,2015-10-12,2020-12-31,0,0,RETAINED_TRAIN
SPL_00206,US,AAPL,2014-07-30,2014-10-27,2015-10-14,2020-12-31,0,0,RETAINED_TRAIN
SPL_00207,US,AAPL,2014-08-01,2014-10-29,2015-10-16,2020-12-31,0,0,RETAINED_TRAIN
SPL_00208,US,AAPL,2014-08-05,2014-10-31,2015-10-20,2020-12-31,0,0,RETAINED_TRAIN
SPL_00209,US,AAPL,2014-08-07,2014-11-04,2015-10-22,2020-12-31,0,0,RETAINED_TRAIN
SPL_00210,US,AAPL,2014-08-11,2014-11-06,2015-10-26,2020-12-31,0,0,RETAINED_TRAIN
SPL_00211,US,AAPL,2014-08-13,2014-11-10,2015-10-28,2020-12-31,0,0,RETAINED_TRAIN
SPL_00212,US,AAPL,2014-08-15,2014-11-12,2015-10-30,2020-12-31,0,0,RETAINED_TRAIN
SPL_00213,US,AAPL,2014-08-19,2014-11-14,2015-11-03,2020-12-31,0,0,RETAINED_TRAIN
SPL_00214,US,AAPL,2014-08-21,2014-11-18,2015-11-05,2020-12-31,0,0,RETAINED_TRAIN
SPL_00215,US,AAPL,2014-08-25,2014-11-20,2015-11-09,2020-12-31,0,0,RETAINED_TRAIN
SPL_00216,US,AAPL,2014-08-27,2014-11-24,2015-11-11,2020-12-31,0,0,RETAINED_TRAIN
SPL_00217,US,AAPL,2014-08-29,2014-11-26,2015-11-13,2020-12-31,0,0,RETAINED_TRAIN
SPL_00218,US,AAPL,2014-09-02,2014-11-28,2015-11-17,2020-12-31,0,0,RETAINED_TRAIN
SPL_00219,US,AAPL,2014-09-04,2014-12-02,2015-11-19,2020-12-31,0,0,RETAINED_TRAIN
SPL_00220,US,AAPL,2014-09-08,2014-12-04,2015-11-23,2020-12-31,0,0,RETAINED_TRAIN
SPL_00221,US,AAPL,2014-09-10,2014-12-08,2015-11-25,2020-12-31,0,0,RETAINED_TRAIN
SPL_00222,US,AAPL,2014-09-12,2014-12-10,2015-11-27,2020-12-31,0,0,RETAINED_TRAIN
SPL_00223,US,AAPL,2014-09-16,2014-12-12,2015-12-01,2020-12-31,0,0,RETAINED_TRAIN
SPL_00224,US,AAPL,2014-09-18,2014-12-16,2015-12-03,2020-12-31,0,0,RETAINED_TRAIN
SPL_00225,US,AAPL,2014-09-22,2014-12-18,2015-12-07,2020-12-31,0,0,RETAINED_TRAIN
SPL_00226,US,AAPL,2014-09-24,2014-12-22,2015-12-09,2020-12-31,0,0,RETAINED_TRAIN
SPL_00227,US,AAPL,2014-09-26,2014-12-24,2015-12-11,2020-12-31,0,0,RETAINED_TRAIN
SPL_00228,US,AAPL,2014-09-30,2014-12-26,2015-12-15,2020-12-31,0,0,RETAINED_TRAIN
SPL_00229,US,AAPL,2014-10-02,2014-12-30,2015-12-17,2020-12-31,0,0,RETAINED_TRAIN
SPL_00230,US,AAPL,2014-10-06,2015-01-01,2015-12-21,2020-12-31,0,0,RETAINED_TRAIN
SPL_00231,US,AAPL,2014-10-08,2015-01-05,2015-12-23,2020-12-31,0,0,RETAINED_TRAIN
SPL_00232,US,AAPL,2014-10-10,2015-01-07,2015-12-25,2020-12-31,0,0,RETAINED_TRAIN
SPL_00233,US,AAPL,2014-10-14,2015-01-09,2015-12-29,2020-12-31,0,0,RETAINED_TRAIN
SPL_00234,US,AAPL,2014-10-16,2015-01-13,2015-12-31,2020-12-31,0,0,RETAINED_TRAIN
SPL_00235,US,AAPL,2014-10-20,2015-01-15,2016-01-04,2020-12-31,0,0,RETAINED_TRAIN
SPL_00236,US,AAPL,2014-10-22,2015-01-19,2016-01-06,2020-12-31,0,0,RETAINED_TRAIN
SPL_00237,US,AAPL,2014-10-24,2015-01-21,2016-01-08,2020-12-31,0,0,RETAINED_TRAIN
SPL_00238,US,AAPL,2014-10-28,2015-01-23,2016-01-12,2020-12-31,0,0,RETAINED_TRAIN
SPL_00239,US,AAPL,2014-10-30,2015-01-27,2016-01-14,2020-12-31,0,0,RETAINED_TRAIN
