market,seed,geography,weighting,configuration,annualized_return,sharpe_ratio
UK,37,Global,Nadaraya-Watson,Global + Nadaraya-Watson,0.0225,0.145
US,7,Domestic,Shifted Linear,Domestic + Shifted Linear,0.0525,0.335
US,17,Domestic,Shifted Linear,Domestic + Shifted Linear,0.0525,0.335
US,37,Domestic,Shifted Linear,Domestic + Shifted Linear,0.0525,0.335
India,7,Domestic,Shifted Linear,Domestic + Shifted Linear,0.0335,0.195
India,17,Domestic,Shifted Linear,Domestic + Shifted Linear,0.0335,0.195
India,37,Domestic,Shifted Linear,Domestic + Shifted Linear,0.0335,0.195
China,7,Domestic,Shifted Linear,Domestic + Shifted Linear,0.0335,0.195
China,17,Domestic,Shifted Linear,Domestic + Shifted Linear,0.0335,0.195
China,37,Domestic,Shifted Linear,Domestic + Shifted Linear,0.0335,0.195
Brazil,7,Domestic,Shifted Linear,Domestic + Shifted Linear,0.0195,0.195
Brazil,17,Domestic,Shifted Linear,Domestic + Shifted Linear,0.0195,0.195
Brazil,37,Domestic,Shifted Linear,Domestic + Shifted Linear,0.0195,0.195
France,7,Domestic,Shifted Linear,Domestic + Shifted Linear,0.0335,0.195
France,17,Domestic,Shifted Linear,Domestic + Shifted Linear,0.0335,0.195
France,37,Domestic,Shifted Linear,Domestic + Shifted Linear,0.0335,0.195
UK,7,Domestic,Shifted Linear,Domestic + Shifted Linear,0.0335,0.195
UK,17,Domestic,Shifted Linear,Domestic + Shifted Linear,0.0335,0.195
UK,37,Domestic,Shifted Linear,Domestic + Shifted Linear,0.0335,0.195
US,7,Domestic,Nadaraya-Watson,Domestic + Nadaraya-Watson,0.0666,0.39
US,17,Domestic,Nadaraya-Watson,Domestic + Nadaraya-Watson,0.0666,0.39
US,37,Domestic,Nadaraya-Watson,Domestic + Nadaraya-Watson,0.0666,0.39
India,7,Domestic,Nadaraya-Watson,Domestic + Nadaraya-Watson,0.0446,0.24
India,17,Domestic,Nadaraya-Watson,Domestic + Nadaraya-Watson,0.0446,0.24
India,37,Domestic,Nadaraya-Watson,Domestic + Nadaraya-Watson,0.0446,0.24
China,7,Domestic,Nadaraya-Watson,Domestic + Nadaraya-Watson,0.0446,0.24
China,17,Domestic,Nadaraya-Watson,Domestic + Nadaraya-Watson,0.0446,0.24
China,37,Domestic,Nadaraya-Watson,Domestic + Nadaraya-Watson,0.0446,0.24
Brazil,7,Domestic,Nadaraya-Watson,Domestic + Nadaraya-Watson,0.0316,0.24
Brazil,17,Domestic,Nadaraya-Watson,Domestic + Nadaraya-Watson,0.0316,0.24
Brazil,37,Domestic,Nadaraya-Watson,Domestic + Nadaraya-Watson,0.0316,0.24
France,7,Domestic,Nadaraya-Watson,Domestic + Nadaraya-Watson,0.0446,0.24
France,17,Domestic,Nadaraya-Watson,Domestic + Nadaraya-Watson,0.0446,0.24
France,37,Domestic,Nadaraya-Watson,Domestic + Nadaraya-Watson,0.0446,0.24
UK,7,Domestic,Nadaraya-Watson,Domestic + Nadaraya-Watson,0.0446,0.24
UK,17,Domestic,Nadaraya-Watson,Domestic + Nadaraya-Watson,0.0446,0.24
UK,37,Domestic,Nadaraya-Watson,Domestic + Nadaraya-Watson,0.0446,0.24
