date,market,portfolio_equity
2025-01-02,France,99138.04
2025-01-03,France,100325.74
2025-01-06,France,99727.81
2025-01-07,France,99525.86
2025-01-08,France,98602.04
2025-01-09,France,99766.9
2025-01-10,France,99075.77
2025-01-13,France,100360.01
2025-01-14,France,101579.78
2025-01-15,France,101122.13
2025-01-16,France,101195.58
2025-01-17,France,100708.75
2025-01-20,France,101353.58
2025-01-21,France,101177.31
2025-01-22,France,100753.14
2025-01-23,France,100844.62
2025-01-24,France,99129.82
2025-01-27,France,99086.77
2025-01-28,France,99834.45
2025-01-29,France,100025.99
2025-01-30,France,101113.1
2025-01-31,France,100733.89
2025-02-03,France,100265.26
2025-02-04,France,99073.05
2025-02-05,France,98670.5
2025-02-06,France,100843.7
2025-02-07,France,101189.69
2025-02-10,France,100578.42
2025-02-11,France,99505.49
2025-02-12,France,97795.6
2025-02-13,France,96941.43
2025-02-14,France,97789.77
2025-02-17,France,97369.54
2025-02-18,France,96382.22
2025-02-19,France,95521.52
2025-02-20,France,96242.17
2025-02-21,France,96194.63
2025-02-24,France,95569.44
2025-02-25,France,95283.47
2025-02-26,France,97633.61
2025-02-27,France,98982.5
2025-02-28,France,100621.14
2025-03-03,France,98722.11
2025-03-04,France,98597.51
2025-03-05,France,97937.63
2025-03-06,France,98562.69
2025-03-07,France,99751.14
2025-03-10,France,100149.22
2025-03-11,France,99228.13
2025-03-12,France,98546.32
2025-03-13,France,99258.44
2025-03-14,France,100084.35
2025-03-17,France,100279.57
2025-03-18,France,100462.85
2025-03-19,France,100558.42
2025-03-20,France,100896.3
2025-03-21,France,101731.28
2025-03-24,France,102477.15
2025-03-25,France,102544.73
2025-03-26,France,102530.42
2025-03-27,France,102472.98
2025-03-28,France,101634.37
2025-03-31,France,100788.44
2025-01-02,UK,100638.35
2025-01-03,UK,99889.45
2025-01-06,UK,100823.74
2025-01-07,UK,100807.13
2025-01-08,UK,101756.28
2025-01-09,UK,102509.94
2025-01-10,UK,103501.44
2025-01-13,UK,103000.49
2025-01-14,UK,103504.98
2025-01-15,UK,104386.51
2025-01-16,UK,102646.95
2025-01-17,UK,104609.42
2025-01-20,UK,107258.7
2025-01-21,UK,108419.26
2025-01-22,UK,109423.73
2025-01-23,UK,110176.16
2025-01-24,UK,109828.25
2025-01-27,UK,109739.09
2025-01-28,UK,110947.15
2025-01-29,UK,109803.79
2025-01-30,UK,108566.53
2025-01-31,UK,108135.46
2025-02-03,UK,108959.32
2025-02-04,UK,107965.03
2025-02-05,UK,107740.51
2025-02-06,UK,107657.18
2025-02-07,UK,106501.96
2025-02-10,UK,103686.32
2025-02-11,UK,102557.01
2025-02-12,UK,102892.34
2025-02-13,UK,103483.72
2025-02-14,UK,104087.86
2025-02-17,UK,104827.44
2025-02-18,UK,104147.07
2025-02-19,UK,103225.71
2025-02-20,UK,103692.87
2025-02-21,UK,103492.82
2025-02-24,UK,104566.86
2025-02-25,UK,105047.35
2025-02-26,UK,106572.86
2025-02-27,UK,106069.74
2025-02-28,UK,107357.73
2025-03-03,UK,109803.49
2025-03-04,UK,109912.32
2025-03-05,UK,110559.97
2025-03-06,UK,109472.52
2025-03-07,UK,110592.93
2025-03-10,UK,112010.69
2025-03-11,UK,111446.27
2025-03-12,UK,112209.43
2025-03-13,UK,112600.5
2025-03-14,UK,113129.57
2025-03-17,UK,114185.32
2025-03-18,UK,114882.75
2025-03-19,UK,114753.07
2025-03-20,UK,115850.82
2025-03-21,UK,117314.07
2025-03-24,UK,116645.83
2025-03-25,UK,116690.18
2025-03-26,UK,114466.58
2025-03-27,UK,115247.19
2025-03-28,UK,116843.86
2025-03-31,UK,116559.9
