rung_id,rung_name,market,seed,dimension,metric_geometry,annualized_return,sharpe_ratio,max_drawdown,trade_count,median_holding_days,win_rate,annualized_turnover
2,Annual Summary kNN,France,37,46,Moments Euclidean (46-d),0.0094,0.258,-0.2631,19,38.0,0.41,11.35
2,Annual Summary kNN,UK,7,46,Moments Euclidean (46-d),-0.0428,-0.203,-0.15,19,38.0,0.41,11.35
2,Annual Summary kNN,UK,17,46,Moments Euclidean (46-d),-0.2622,-1.62,-0.2897,19,38.0,0.41,11.35
2,Annual Summary kNN,UK,37,46,Moments Euclidean (46-d),-0.2252,-1.353,-0.3,19,38.0,0.41,11.35
3,Flattened Sequence kNN,US,7,5796,"High-Dim Euclidean (5,796-d)",0.0017,0.205,-0.215,19,36.5,0.385,11.6
3,Flattened Sequence kNN,US,17,5796,"High-Dim Euclidean (5,796-d)",0.0523,0.26,-0.215,19,36.5,0.385,11.6
3,Flattened Sequence kNN,US,37,5796,"High-Dim Euclidean (5,796-d)",0.1571,0.729,-0.215,19,36.5,0.385,11.6
3,Flattened Sequence kNN,India,7,5796,"High-Dim Euclidean (5,796-d)",0.0756,0.571,-0.215,19,36.5,0.385,11.6
3,Flattened Sequence kNN,India,17,5796,"High-Dim Euclidean (5,796-d)",0.0799,0.477,-0.215,19,36.5,0.385,11.6
3,Flattened Sequence kNN,India,37,5796,"High-Dim Euclidean (5,796-d)",0.0828,0.749,-0.215,19,36.5,0.385,11.6
3,Flattened Sequence kNN,China,7,5796,"High-Dim Euclidean (5,796-d)",0.1343,0.47,-0.215,19,36.5,0.385,11.6
3,Flattened Sequence kNN,China,17,5796,"High-Dim Euclidean (5,796-d)",0.0651,0.173,-0.215,19,36.5,0.385,11.6
3,Flattened Sequence kNN,China,37,5796,"High-Dim Euclidean (5,796-d)",0.0912,0.289,-0.215,19,36.5,0.385,11.6
3,Flattened Sequence kNN,Brazil,7,5796,"High-Dim Euclidean (5,796-d)",-0.0753,-0.306,-0.215,19,36.5,0.385,11.6
3,Flattened Sequence kNN,Brazil,17,5796,"High-Dim Euclidean (5,796-d)",-0.1249,-0.531,-0.215,19,36.5,0.385,11.6
3,Flattened Sequence kNN,Brazil,37,5796,"High-Dim Euclidean (5,796-d)",-0.1054,-0.403,-0.215,19,36.5,0.385,11.6
3,Flattened Sequence kNN,France,7,5796,"High-Dim Euclidean (5,796-d)",-0.0814,-0.224,-0.215,19,36.5,0.385,11.6
3,Flattened Sequence kNN,France,17,5796,"High-Dim Euclidean (5,796-d)",0.0464,0.019,-0.215,19,36.5,0.385,11.6
3,Flattened Sequence kNN,France,37,5796,"High-Dim Euclidean (5,796-d)",-0.0096,-0.025,-0.215,19,36.5,0.385,11.6
3,Flattened Sequence kNN,UK,7,5796,"High-Dim Euclidean (5,796-d)",-0.0433,-0.325,-0.215,19,36.5,0.385,11.6
3,Flattened Sequence kNN,UK,17,5796,"High-Dim Euclidean (5,796-d)",-0.1173,-0.71,-0.215,19,36.5,0.385,11.6
3,Flattened Sequence kNN,UK,37,5796,"High-Dim Euclidean (5,796-d)",-0.1039,-0.614,-0.215,19,36.5,0.385,11.6
4,Unsupervised PCA-128 kNN,US,7,128,Unsupervised Linear S^127,0.3448,1.791,-0.198,18,38.5,0.408,11.25
4,Unsupervised PCA-128 kNN,US,17,128,Unsupervised Linear S^127,0.1953,1.25,-0.198,18,38.5,0.408,11.25
4,Unsupervised PCA-128 kNN,US,37,128,Unsupervised Linear S^127,0.0995,0.612,-0.198,18,38.5,0.408,11.25
4,Unsupervised PCA-128 kNN,India,7,128,Unsupervised Linear S^127,0.0677,0.437,-0.198,18,38.5,0.408,11.25
4,Unsupervised PCA-128 kNN,India,17,128,Unsupervised Linear S^127,0.1023,0.578,-0.198,18,38.5,0.408,11.25
4,Unsupervised PCA-128 kNN,India,37,128,Unsupervised Linear S^127,0.1445,0.968,-0.198,18,38.5,0.408,11.25
4,Unsupervised PCA-128 kNN,China,7,128,Unsupervised Linear S^127,0.1335,0.511,-0.198,18,38.5,0.408,11.25
4,Unsupervised PCA-128 kNN,China,17,128,Unsupervised Linear S^127,0.0503,0.289,-0.198,18,38.5,0.408,11.25
4,Unsupervised PCA-128 kNN,China,37,128,Unsupervised Linear S^127,0.144,0.628,-0.198,18,38.5,0.408,11.25
4,Unsupervised PCA-128 kNN,Brazil,7,128,Unsupervised Linear S^127,-0.1513,-0.575,-0.198,18,38.5,0.408,11.25
4,Unsupervised PCA-128 kNN,Brazil,17,128,Unsupervised Linear S^127,-0.1797,-0.7,-0.198,18,38.5,0.408,11.25
4,Unsupervised PCA-128 kNN,Brazil,37,128,Unsupervised Linear S^127,-0.1946,-0.989,-0.198,18,38.5,0.408,11.25
4,Unsupervised PCA-128 kNN,France,7,128,Unsupervised Linear S^127,-0.1617,-0.558,-0.198,18,38.5,0.408,11.25
4,Unsupervised PCA-128 kNN,France,17,128,Unsupervised Linear S^127,-0.0129,0.039,-0.198,18,38.5,0.408,11.25
4,Unsupervised PCA-128 kNN,France,37,128,Unsupervised Linear S^127,0.0556,0.288,-0.198,18,38.5,0.408,11.25
4,Unsupervised PCA-128 kNN,UK,7,128,Unsupervised Linear S^127,0.0155,0.21,-0.198,18,38.5,0.408,11.25
4,Unsupervised PCA-128 kNN,UK,17,128,Unsupervised Linear S^127,-0.1859,-1.198,-0.198,18,38.5,0.408,11.25
4,Unsupervised PCA-128 kNN,UK,37,128,Unsupervised Linear S^127,-0.1663,-0.765,-0.198,18,38.5,0.408,11.25
5,Learned Outcome Geometry,US,7,128,Supervised Continuous S^127,0.4268,2.167,-0.0957,16,63.0,0.562,11.2
5,Learned Outcome Geometry,US,17,128,Supervised Continuous S^127,0.2379,1.53,-0.1197,17,63.0,0.471,11.2
5,Learned Outcome Geometry,US,37,128,Supervised Continuous S^127,0.1246,0.682,-0.1675,19,32.0,0.474,11.2
5,Learned Outcome Geometry,India,7,128,Supervised Continuous S^127,0.0684,0.524,-0.1273,15,63.0,0.6,11.2
5,Learned Outcome Geometry,India,17,128,Supervised Continuous S^127,0.1003,0.695,-0.1188,15,63.0,0.467,11.2
5,Learned Outcome Geometry,India,37,128,Supervised Continuous S^127,0.1816,1.188,-0.0841,14,63.0,0.571,11.2
5,Learned Outcome Geometry,China,7,128,Supervised Continuous S^127,0.1378,0.598,-0.163,21,30.0,0.429,11.2
5,Learned Outcome Geometry,China,17,128,Supervised Continuous S^127,0.0494,0.324,-0.1596,18,34.5,0.389,11.2
5,Learned Outcome Geometry,China,37,128,Supervised Continuous S^127,0.179,0.765,-0.2002,19,32.0,0.526,11.2
5,Learned Outcome Geometry,Brazil,7,128,Supervised Continuous S^127,-0.1975,-0.787,-0.2017,20,39.5,0.2,11.2
5,Learned Outcome Geometry,Brazil,17,128,Supervised Continuous S^127,-0.2516,-0.966,-0.2771,21,30.0,0.286,11.2
5,Learned Outcome Geometry,Brazil,37,128,Supervised Continuous S^127,-0.2443,-1.224,-0.2634,21,32.0,0.191,11.2
5,Learned Outcome Geometry,France,7,128,Supervised Continuous S^127,-0.1968,-0.688,-0.3111,22,34.0,0.364,11.2
5,Learned Outcome Geometry,France,17,128,Supervised Continuous S^127,-0.0165,0.034,-0.2555,17,45.0,0.412,11.2
5,Learned Outcome Geometry,France,37,128,Supervised Continuous S^127,0.0511,0.32,-0.256,21,32.0,0.524,11.2
5,Learned Outcome Geometry,UK,7,128,Supervised Continuous S^127,0.0106,0.149,-0.1498,16,59.0,0.625,11.2
5,Learned Outcome Geometry,UK,17,128,Supervised Continuous S^127,-0.2629,-1.497,-0.2735,21,32.0,0.333,11.2
5,Learned Outcome Geometry,UK,37,128,Supervised Continuous S^127,-0.2095,-1.024,-0.2653,22,31.5,0.227,11.2
